trading_signals_20251006_004721
sid,symbol,sector,industry,market_cap_cr,pe_ratio,beta,current_price,price_5d_ago,price_20d_ago,return_5d,return_20d,avg_volume,current_delivery,delivery_5d_avg,delivery_20d_avg,momentum_score,delivery_score,valuation_score,volatility_score,total_score,signal,confidence
32,ABSLAMC,Financial Services,Asset Management,23500.78,24.21,0.23,813.85,777.5,833.5,4.68,-2.36,269894.0,63.81,60.7,60.7,20,15,10,15,60,BUY,MEDIUM
740,HBLENGINE,Industrials,Electrical Equipment & Parts,23474.25,68.96,0.22,846.85,835.65,851.05,1.34,-0.49,1292866.0,42.82,41.07,41.07,15,0,0,15,30,SELL,HIGH
1498,RAMCOCEM,Basic Materials,Building Materials,23387.04,73.53,-0.11,989.75,1001.6,1084.4,-1.18,-8.73,276493.0,76.91,67.59,67.59,0,20,0,15,35,HOLD,MEDIUM
178,ASTRAZEN,Healthcare,Drug Manufacturers - Specialty & Generic,23327.5,126.59,0.17,9331.0,8811.5,9095.0,5.9,2.59,13505.0,37.81,40.28,40.28,35,0,0,15,50,HOLD,LOW
1895,TIMKEN,Industrials,Tools & Accessories,23139.92,50.76,0.33,3076.0,2998.2,2934.7,2.59,4.81,72782.0,45.8,55.03,55.03,30,0,0,15,45,HOLD,MEDIUM
1417,PNBHOUSING,Financial Services,Mortgage Finance,23134.46,11.38,0.04,888.05,864.1,791.85,2.77,12.15,1720696.0,38.34,48.39,48.39,35,0,15,15,65,BUY,MEDIUM
157,ASAHIINDIA,Consumer Cyclical,Auto Parts,22831.28,62.5,0.29,895.6,906.7,836.3,-1.22,7.09,296340.0,35.73,41.73,41.73,15,0,0,15,30,SELL,HIGH
2050,WELCORP,Basic Materials,Steel,22772.1,11.33,0.07,864.15,860.9,852.4,0.38,1.38,361052.0,48.43,47.39,47.39,30,0,15,15,60,BUY,MEDIUM
1802,SUNTV,Communication Services,Broadcasting,22770.21,13.6,0.06,577.8,523.75,561.3,10.32,2.94,1001873.0,15.84,12.48,12.48,35,0,15,15,65,BUY,MEDIUM
990,KEC,Industrials,Engineering & Construction,22748.12,37.04,0.11,854.55,846.05,847.75,1.0,0.8,1283179.0,35.95,34.06,34.06,30,0,0,15,45,HOLD,MEDIUM
250,BAYERCROP,Basic Materials,Agricultural Inputs,22717.78,38.32,0.25,5054.9,5049.0,5176.0,0.12,-2.34,23355.0,58.43,53.43,53.43,15,0,0,15,30,SELL,HIGH
183,ATHERENERG,Consumer Cyclical,Auto Manufacturers,22553.23,,,593.0,539.9,500.6,9.84,18.46,3674684.0,20.53,20.52,20.52,40,0,0,0,40,HOLD,MEDIUM
409,CREDITACC,Financial Services,Credit Services,22547.77,116.31,0.1,1410.9,1377.5,1382.4,2.42,2.06,253506.0,40.81,41.67,41.67,30,0,0,15,45,HOLD,MEDIUM
797,HSCL,Basic Materials,Specialty Chemicals,22324.13,36.62,-0.11,451.5,452.5,464.55,-0.22,-2.81,2333578.0,43.41,37.45,37.45,0,0,0,15,15,SELL,HIGH
609,FSL,Technology,Information Technology Services,22222.63,36.12,0.38,321.45,351.6,369.0,-8.58,-12.89,1160976.0,44.7,45.5,45.5,0,0,0,15,15,SELL,HIGH
605,FORCEMOT,Consumer Cyclical,Auto Manufacturers,22145.34,25.71,0.58,16807.0,17372.0,19785.0,-3.25,-15.05,104244.0,35.19,32.85,32.85,0,0,10,15,25,SELL,HIGH
11,AADHARHFC,Financial Services,Mortgage Finance,22085.56,23.64,,509.95,511.85,515.4,-0.37,-1.06,601590.0,75.14,74.04,74.04,0,20,15,0,35,HOLD,MEDIUM
360,CESC,Utilities,Utilities - Regulated Electric,22048.21,15.99,0.2,166.33,163.55,155.16,1.7,7.2,2117551.0,55.8,55.37,55.37,30,0,15,15,60,BUY,MEDIUM
314,BRIGADE,Real Estate,Real Estate - Development,21924.02,28.73,0.29,896.75,905.1,931.9,-0.92,-3.77,373627.0,73.54,75.09,75.09,0,20,10,15,45,HOLD,MEDIUM
1515,REDINGTON,Technology,Information Technology Services,21901.41,13.39,0.82,279.85,264.83,237.28,5.67,17.94,12661082.0,19.7,19.77,19.77,40,0,15,10,65,BUY,MEDIUM
557,ERIS,Healthcare,Drug Manufacturers - Specialty & Generic,21702.91,56.18,-0.08,1593.3,1585.5,1779.9,0.49,-10.48,105335.0,76.57,64.46,64.46,15,20,0,15,50,HOLD,LOW
1797,SUNDRMFAST,Consumer Cyclical,Auto Parts,21549.72,39.52,0.18,1025.55,991.2,1014.3,3.47,1.11,112698.0,60.17,57.28,57.28,35,15,0,15,65,BUY,MEDIUM
1028,KPIL,Industrials,Engineering & Construction,21349.13,29.5,0.32,1248.9,1241.3,1272.4,0.61,-1.85,159789.0,45.28,46.22,46.22,15,0,10,15,40,HOLD,MEDIUM
364,CHALET,Consumer Cyclical,Lodging,21345.88,74.62,-0.08,971.5,956.4,1023.9,1.58,-5.12,201995.0,40.35,47.0,47.0,15,0,0,15,30,SELL,HIGH
1462,PSB,Financial Services,Banks - Regional,21244.18,18.6,0.44,29.94,28.76,28.84,4.1,3.81,1805743.0,46.97,45.63,45.63,35,0,15,15,65,BUY,MEDIUM
964,JYOTICNC,Industrials,Specialty Industrial Machinery,20942.26,62.09,,920.85,868.95,896.2,5.97,2.75,247794.0,58.13,36.85,36.85,35,0,0,0,35,HOLD,MEDIUM
365,CHAMBLFERT,Basic Materials,Agricultural Inputs,20831.92,11.91,0.56,519.7,519.7,569.75,0.0,-8.78,996049.0,46.85,42.22,42.22,0,0,15,15,30,SELL,HIGH
1336,ONESOURCE,Healthcare,Biotechnology,20686.12,,,1805.9,1789.8,1899.0,0.9,-4.9,140808.0,64.69,61.18,61.18,15,15,0,0,30,SELL,HIGH
465,DEVYANI,Consumer Cyclical,Restaurants,20650.61,,-0.11,167.35,169.91,175.22,-1.51,-4.49,2638741.0,56.67,49.16,49.16,0,0,0,15,15,SELL,HIGH
737,HATSUN,Consumer Defensive,Packaged Foods,20529.59,72.48,-0.04,921.2,895.6,900.5,2.86,2.3,105103.0,23.5,29.53,29.53,30,0,0,15,45,HOLD,MEDIUM
979,KANSAINER,Basic Materials,Specialty Chemicals,20403.37,18.01,0.03,252.36,246.58,244.57,2.34,3.19,591926.0,55.96,56.65,56.65,30,0,15,15,60,BUY,MEDIUM
1620,SARDAEN,Basic Materials,Steel,20350.02,21.74,0.61,577.5,566.4,586.5,1.96,-1.53,1328011.0,34.7,34.33,34.33,15,0,15,15,45,HOLD,MEDIUM
1588,SAGILITY,Healthcare,Health Information Services,20335.69,30.59,,43.44,43.15,44.46,0.67,-2.29,26792700.0,42.9,42.21,42.21,15,0,10,0,25,SELL,HIGH
247,BASF,Basic Materials,Specialty Chemicals,20290.14,51.28,0.51,4687.5,4509.8,4669.0,3.94,0.4,11223.0,47.08,42.52,42.52,35,0,0,15,50,HOLD,LOW
982,KARURVYSYA,Financial Services,Banks - Regional,20245.98,10.08,-0.15,209.18,205.64,208.31,1.72,0.42,1427028.0,72.59,60.86,60.86,30,20,15,15,80,STRONG BUY,HIGH
343,CASTROLIND,Energy,Oil & Gas Refining & Marketing,20044.56,20.96,0.4,202.65,195.68,198.53,3.56,2.08,1447405.0,60.24,51.66,51.66,35,15,15,15,80,STRONG BUY,HIGH
117,ANGELONE,Financial Services,Capital Markets,19970.88,20.53,-0.21,2201.3,2136.4,2272.2,3.04,-3.12,779210.0,21.58,20.83,20.83,20,0,15,15,50,HOLD,LOW
454,DEEPAKFERT,Basic Materials,Chemicals,19856.58,20.24,-0.4,1572.4,1531.6,1442.5,2.66,9.01,294752.0,45.78,42.9,42.9,30,0,15,15,60,BUY,MEDIUM
1275,NEULANDLAB,Healthcare,Drug Manufacturers - Specialty & Generic,19514.26,111.11,0.07,15210.0,13966.0,14368.0,8.91,5.86,57953.0,25.96,23.53,23.53,35,0,0,15,50,HOLD,LOW
662,GMDCLTD,Energy,Thermal Coal,19506.12,29.32,0.36,613.1,589.0,459.7,4.09,33.37,13047488.0,19.65,20.71,20.71,40,0,10,15,65,BUY,MEDIUM
825,IIFL,Financial Services,Credit Services,19430.58,63.32,0.54,457.2,419.35,437.0,9.03,4.62,1040148.0,27.98,36.0,36.0,35,0,0,15,50,HOLD,LOW
1426,POLYMED,Healthcare,Medical Instruments & Supplies,19370.81,53.76,0.01,1910.8,1959.5,2067.0,-2.49,-7.56,199632.0,68.61,64.94,64.94,0,15,0,15,30,SELL,HIGH
967,KAJARIACER,Industrials,Building Products & Equipment,19211.42,53.47,0.56,1206.2,1182.8,1233.2,1.98,-2.19,141442.0,58.05,56.01,56.01,15,0,0,15,30,SELL,HIGH
1117,MAHSCOOTER,Financial Services,Asset Management,19211.42,79.36,0.06,16810.0,17470.0,16586.0,-3.78,1.35,14371.0,44.08,44.99,44.99,15,0,0,15,30,SELL,HIGH
412,CROMPTON,Consumer Cyclical,"Furnishings, Fixtures & Appliances",19008.37,36.09,0.13,295.2,292.6,332.6,0.89,-11.24,2619733.0,67.42,59.05,59.05,15,15,0,15,45,HOLD,MEDIUM
329,CAMS,Technology,Information Technology Services,18884.6,40.0,0.14,3811.3,3800.0,3803.6,0.3,0.2,251810.0,45.97,47.7,47.7,30,0,0,15,45,HOLD,MEDIUM
611,GABRIEL,Consumer Cyclical,Auto Parts,18544.43,74.08,0.52,1289.8,1237.7,1223.0,4.21,5.46,419109.0,47.37,36.91,36.91,35,0,0,15,50,HOLD,LOW
522,EIDPARRY,Basic Materials,Agricultural Inputs,18531.38,17.95,0.16,1041.9,1031.6,1123.6,1.0,-7.27,147422.0,47.89,49.37,49.37,15,0,15,15,45,HOLD,MEDIUM
447,DCMSHRIRAM,Industrials,Conglomerates,18508.48,30.21,-0.25,1195.9,1153.6,1240.2,3.67,-3.57,314784.0,35.6,33.41,33.41,20,0,10,15,45,HOLD,MEDIUM
1592,SAILIFE,Healthcare,Diagnostics & Research,18486.97,75.18,,882.6,858.4,847.85,2.82,4.1,502036.0,72.26,62.05,62.05,30,20,0,0,50,HOLD,LOW
518,ECLERX,Technology,Information Technology Services,18465.33,33.0,0.53,3928.0,4156.9,4408.0,-5.51,-10.89,96750.0,50.8,45.75,45.75,0,0,10,15,25,SELL,HIGH
1251,NAVA,Industrials,Conglomerates,18464.42,17.96,0.21,652.15,683.15,704.25,-4.54,-7.4,478880.0,46.08,50.45,50.45,0,0,15,15,30,SELL,HIGH
702,GRINDWELL,Industrials,Building Products & Equipment,18410.52,49.75,0.35,1662.8,1554.4,1594.3,6.97,4.3,64540.0,75.56,68.26,68.26,35,20,0,15,70,STRONG BUY,MEDIUM
998,KFINTECH,Technology,Software - Application,18389.24,54.04,-0.51,1067.3,1070.8,1067.0,-0.33,0.03,845764.0,66.22,56.95,56.95,15,15,0,15,45,HOLD,MEDIUM
711,GSPL,Utilities,Utilities - Regulated Gas,18356.62,17.48,0.48,325.35,310.9,302.0,4.65,7.73,935316.0,57.07,58.24,58.24,35,0,15,15,65,BUY,MEDIUM
263,BEML,Industrials,Conglomerates,18282.77,61.35,0.66,4390.2,4207.5,4103.5,4.34,6.99,347857.0,25.63,22.04,22.04,35,0,0,15,50,HOLD,LOW
283,BIKAJI,Consumer Defensive,Packaged Foods,18274.47,90.14,0.49,729.25,731.15,784.9,-0.26,-7.09,317112.0,83.73,66.93,66.93,0,20,0,15,35,HOLD,MEDIUM
362,CGCL,Financial Services,Credit Services,18207.6,27.48,0.08,189.34,185.26,188.86,2.2,0.25,1325095.0,48.58,46.03,46.03,30,0,10,15,55,BUY,MEDIUM
187,ATUL,Basic Materials,Specialty Chemicals,18059.57,36.1,0.17,6134.0,6032.0,6405.0,1.69,-4.23,17163.0,48.27,56.15,56.15,15,0,0,15,30,SELL,HIGH
357,CENTURYPLY,Basic Materials,Lumber & Wood Production,17950.47,88.49,0.43,807.95,798.85,779.9,1.14,3.6,101146.0,66.48,53.02,53.02,30,15,0,15,60,BUY,MEDIUM
595,FIRSTCRY,Consumer Cyclical,Internet Retail,17946.72,,,372.1,362.85,362.35,2.55,2.69,4561400.0,76.96,54.16,54.16,30,20,0,0,50,HOLD,LOW
131,APLLTD,Healthcare,Drug Manufacturers - Specialty & Generic,17906.9,29.67,0.43,910.4,909.9,955.75,0.05,-4.74,119360.0,41.56,41.41,41.41,15,0,10,15,40,HOLD,MEDIUM
31,ABREL,Basic Materials,Paper & Paper Products,17896.53,,0.35,1619.2,1743.3,1818.9,-7.12,-10.98,122667.0,63.15,66.33,66.33,0,15,0,15,30,SELL,HIGH
338,CARBORUNIV,Industrials,Conglomerates,17851.66,72.44,0.36,937.4,919.9,947.3,1.9,-1.05,148475.0,46.24,44.13,44.13,15,0,0,15,30,SELL,HIGH
959,JUBLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,17740.43,38.61,0.68,1119.4,1042.9,1052.2,7.34,6.39,178990.0,41.67,49.33,49.33,35,0,0,15,50,HOLD,LOW
951,JSWHL,Industrials,Conglomerates,17669.75,100.0,0.21,15884.0,18070.0,18639.0,-12.1,-14.78,2962.0,47.22,53.41,53.41,0,0,0,15,15,SELL,HIGH
2010,VINATIORGA,Basic Materials,Specialty Chemicals,17498.76,41.15,0.21,1688.0,1720.0,1722.6,-1.86,-2.01,63463.0,89.84,86.64,86.64,0,20,0,15,35,HOLD,MEDIUM
41,ACMESOLAR,Utilities,Utilities - Renewable,17320.64,45.44,,286.25,266.95,298.55,7.23,-4.12,1562858.0,47.7,43.42,43.42,20,0,0,0,20,SELL,HIGH
2086,ZENSARTECH,Technology,Information Technology Services,17294.37,25.84,0.39,760.2,774.4,778.65,-1.83,-2.37,489390.0,53.85,50.02,50.02,0,0,10,15,25,SELL,HIGH
1856,TBOTEK,Consumer Cyclical,Travel Services,17027.19,74.06,,1600.5,1494.7,1591.0,7.08,0.6,581485.0,26.11,35.47,35.47,35,0,0,0,35,HOLD,MEDIUM
1506,RATNAMANI,Basic Materials,Steel,16928.62,29.67,0.29,2415.2,2413.8,2400.8,0.06,0.6,28260.0,44.27,44.85,44.85,30,0,10,15,55,BUY,MEDIUM
1511,RBLBANK,Financial Services,Banks - Regional,16913.24,28.89,0.8,275.9,272.35,270.0,1.3,2.19,11301780.0,50.17,38.51,38.51,30,0,10,10,50,HOLD,LOW
1995,VENTIVE,Consumer Cyclical,Lodging,16899.07,140.78,,723.6,736.6,745.3,-1.76,-2.91,143583.0,59.73,56.66,56.66,0,0,0,0,0,SELL,HIGH
1141,MANYAVAR,Consumer Cyclical,Apparel Manufacturing,16886.73,42.55,-0.34,694.9,704.0,741.2,-1.29,-6.25,276045.0,49.11,48.09,48.09,0,0,0,15,15,SELL,HIGH
1974,UTIAMC,Financial Services,Asset Management,16885.48,23.64,0.55,1314.4,1310.9,1349.4,0.27,-2.59,102073.0,70.31,70.18,70.18,15,20,15,15,65,BUY,MEDIUM
396,CONCORDBIO,Healthcare,Biotechnology,16735.98,46.95,0.75,1597.1,1565.4,1698.9,2.03,-5.99,104173.0,64.44,59.2,59.2,15,15,0,15,45,HOLD,MEDIUM
29,ABLBL,Consumer Cyclical,Apparel Retail,16592.1,,,136.45,132.16,143.05,3.25,-4.61,1257531.0,41.8,43.66,43.66,20,0,0,0,20,SELL,HIGH
1925,TRITURBINE,Industrials,Specialty Industrial Machinery,16582.23,48.3,0.18,521.65,515.5,527.4,1.19,-1.09,491398.0,58.84,53.0,53.0,15,0,0,15,30,SELL,HIGH
60,AFCONS,Industrials,Engineering & Construction,16544.79,31.05,,449.85,438.3,434.25,2.64,3.59,674759.0,46.06,51.03,51.03,30,0,10,0,40,HOLD,MEDIUM
889,IRCON,Industrials,Engineering & Construction,16420.46,24.56,0.58,174.59,169.85,172.08,2.79,1.46,4020540.0,31.98,30.44,30.44,30,0,10,15,55,BUY,MEDIUM
137,APTUS,Financial Services,Mortgage Finance,16329.03,20.41,0.42,326.15,311.85,332.15,4.59,-1.81,4012945.0,83.69,65.44,65.44,20,20,15,15,70,STRONG BUY,MEDIUM
616,GALLANTT,Basic Materials,Steel,16168.24,35.72,1.11,670.1,656.1,618.45,2.13,8.35,398312.0,42.0,27.63,27.63,30,0,0,0,30,SELL,HIGH
406,CRAFTSMAN,Consumer Cyclical,Auto Parts,16158.58,76.92,0.17,6773.5,6779.5,6897.5,-0.09,-1.8,17729.0,35.83,32.85,32.85,0,0,0,15,15,SELL,HIGH
921,JBMA,Consumer Cyclical,Auto Parts,16147.83,78.75,0.05,682.8,686.0,614.45,-0.47,11.12,3012116.0,29.27,26.4,26.4,20,0,0,15,35,HOLD,MEDIUM
372,CHOICEIN,Financial Services,Capital Markets,16115.16,89.24,-0.73,783.5,804.45,783.6,-2.6,-0.01,521809.0,44.02,44.37,44.37,0,0,0,15,15,SELL,HIGH
943,JMFINANCIL,Financial Services,Capital Markets,16091.2,14.59,0.17,168.28,163.3,189.51,3.05,-11.2,5070641.0,42.33,39.88,39.88,20,0,15,15,50,HOLD,LOW
689,GPIL,Basic Materials,Steel,16025.85,20.5,0.77,247.39,256.51,247.98,-3.56,-0.24,5998796.0,43.12,44.97,44.97,0,0,15,15,30,SELL,HIGH
2001,VGUARD,Industrials,Electrical Equipment & Parts,16016.25,55.91,0.13,367.3,370.6,358.35,-0.89,2.5,579199.0,52.7,58.54,58.54,15,0,0,15,30,SELL,HIGH
1866,TECHNOE,Industrials,Engineering & Construction,15958.63,36.23,0.76,1372.2,1278.2,1549.2,7.35,-11.43,273444.0,38.5,45.03,45.03,20,0,0,15,35,HOLD,MEDIUM
417,CUB,Financial Services,Banks - Regional,15957.75,13.78,0.46,215.34,207.65,197.98,3.7,8.77,2031506.0,58.08,54.14,54.14,35,0,15,15,65,BUY,MEDIUM
1753,SPLPETRO,Basic Materials,Specialty Chemicals,15955.31,45.45,0.39,847.2,870.1,775.8,-2.63,9.2,666247.0,25.77,23.32,23.32,15,0,0,15,30,SELL,HIGH
1833,SYRMA,Technology,Electronic Components,15950.89,73.51,-0.18,828.5,802.85,791.5,3.19,4.67,1835869.0,37.28,29.38,29.38,35,0,0,15,50,HOLD,LOW
1009,KIRLOSBROS,Industrials,Specialty Industrial Machinery,15911.96,38.17,0.15,2003.8,1954.2,2040.8,2.54,-1.81,79463.0,27.92,26.61,26.61,15,0,0,15,30,SELL,HIGH
433,DATAPATTNS,Industrials,Aerospace & Defense,15873.14,74.07,0.31,2835.3,2654.9,2546.5,6.79,11.34,383859.0,12.26,18.87,18.87,40,0,0,15,55,BUY,MEDIUM
1081,LMW,Industrials,Specialty Industrial Machinery,15845.03,153.84,0.15,14832.0,14609.0,14107.0,1.53,5.14,4079.0,60.77,58.52,58.52,30,15,0,15,60,BUY,MEDIUM
1372,PARADEEP,Basic Materials,Agricultural Inputs,15803.64,19.71,-0.25,193.59,182.45,210.97,6.11,-8.24,13622205.0,33.67,25.76,25.76,20,0,15,15,50,HOLD,LOW
66,AGARWALEYE,Healthcare,Medical Instruments & Supplies,15795.27,156.13,,499.6,488.8,421.7,2.21,18.47,300485.0,52.96,43.62,43.62,35,0,0,0,35,HOLD,MEDIUM
596,FIVESTAR,Financial Services,Credit Services,15729.05,14.43,0.31,533.95,510.25,533.2,4.64,0.14,1388299.0,47.44,42.1,42.1,35,0,15,15,65,BUY,MEDIUM
1731,SOBHA,Real Estate,Real Estate - Development,15720.81,149.27,0.36,1470.3,1542.2,1453.1,-4.66,1.18,157863.0,44.43,46.74,46.74,15,0,0,15,30,SELL,HIGH
819,IFCI,Financial Services,Credit Services,15667.44,48.06,0.28,58.15,53.27,53.38,9.16,8.94,7041086.0,34.3,32.91,32.91,35,0,0,15,50,HOLD,LOW
375,CIEINDIA,Consumer Cyclical,Auto Parts,15641.11,20.0,-0.1,412.3,417.0,399.4,-1.13,3.23,233899.0,49.08,47.27,47.27,15,0,15,15,45,HOLD,MEDIUM
533,ELGIEQUIP,Industrials,Specialty Industrial Machinery,15608.3,43.1,-0.05,494.4,485.95,490.9,1.74,0.71,502019.0,36.88,47.6,47.6,30,0,0,15,45,HOLD,MEDIUM
249,BATAINDIA,Consumer Cyclical,Footwear & Accessories,15569.83,74.64,0.36,1211.4,1168.1,1162.4,3.71,4.22,318230.0,47.98,57.48,57.48,35,0,0,15,50,HOLD,LOW
26,ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,15467.97,62.91,,553.0,515.4,492.85,7.3,12.2,394227.0,45.87,40.92,40.92,40,0,0,0,40,HOLD,MEDIUM
822,IGIL,Basic Materials,Other Precious Metals & Mining,15423.78,34.85,,356.9,347.3,348.0,2.76,2.56,628938.0,55.61,49.49,49.49,30,0,0,0,30,SELL,HIGH
335,CAPLIPOINT,Healthcare,Drug Manufacturers - Specialty & Generic,15362.72,27.25,-0.01,2019.9,2036.9,2161.0,-0.83,-6.53,106841.0,42.42,37.54,37.54,0,0,10,15,25,SELL,HIGH
90,AKZOINDIA,Basic Materials,Specialty Chemicals,15232.1,37.45,0.25,3343.8,3354.6,3373.6,-0.32,-0.88,34752.0,73.11,65.08,65.08,0,20,0,15,35,HOLD,MEDIUM
1318,NUVOCO,Basic Materials,Building Materials,15191.64,100.08,0.15,424.35,419.9,462.5,1.06,-8.25,326125.0,76.72,58.3,58.3,15,20,0,15,50,HOLD,LOW
499,DOMS,Industrials,Business Equipment & Supplies,15182.82,72.99,,2500.8,2480.3,2503.3,0.83,-0.1,194595.0,44.84,55.74,55.74,15,0,0,0,15,SELL,HIGH
640,GESHIP,Industrials,Marine Shipping,15049.8,7.4,0.68,1054.15,995.1,958.8,5.93,9.94,627234.0,20.95,51.85,51.85,35,0,15,15,65,BUY,MEDIUM
2058,WHIRLPOOL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",14965.17,41.5,0.23,1179.4,1232.6,1344.9,-4.32,-12.31,157190.0,54.92,70.02,70.02,0,0,0,15,15,SELL,HIGH
1298,NIVABUPA,Financial Services,Insurance - Life,14956.02,106.66,,81.06,80.47,83.83,0.73,-3.3,3454911.0,48.65,44.63,44.63,15,0,0,0,15,SELL,HIGH
1825,SWANENERGY,Industrials,Conglomerates,14943.21,19.05,-0.51,457.35,469.95,460.9,-2.68,-0.77,1180188.0,33.09,29.94,29.94,0,0,15,15,30,SELL,HIGH
1842,TARIL,Industrials,Electrical Equipment & Parts,14922.74,61.75,-0.35,497.05,498.3,506.6,-0.25,-1.89,841907.0,48.22,47.06,47.06,0,0,0,15,15,SELL,HIGH
1701,SIGNATURE,Real Estate,Real Estate - Development,14791.56,114.92,0.57,1052.7,1055.2,1103.2,-0.24,-4.58,286512.0,3.89,15.76,15.76,0,0,0,15,15,SELL,HIGH
2096,ZYDUSWELL,Consumer Defensive,Packaged Foods,14776.97,45.27,-0.14,464.45,482.3,2328.4,-3.7,-80.05,261976.0,50.57,37.89,37.89,0,0,0,15,15,SELL,HIGH
1247,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,14742.53,8.68,0.18,822.55,820.75,872.0,0.22,-5.67,482552.0,40.53,41.25,41.25,15,0,15,15,45,HOLD,MEDIUM
1398,PGEL,Technology,Electronic Components,14597.57,52.9,-0.18,514.15,514.65,553.2,-0.1,-7.06,2721484.0,30.69,31.53,31.53,0,0,0,15,15,SELL,HIGH
1923,TRIDENT,Consumer Cyclical,Textile Manufacturing,14577.88,33.66,-0.05,28.61,28.69,28.38,-0.28,0.81,6209460.0,43.28,41.68,41.68,15,0,10,15,40,HOLD,MEDIUM
262,BELRISE,Consumer Cyclical,Auto Parts,14506.81,36.63,,163.02,157.48,140.65,3.52,15.9,11500948.0,35.23,34.17,34.17,40,0,0,0,40,HOLD,MEDIUM
1384,PCBL,Basic Materials,Specialty Chemicals,14500.23,35.47,0.43,384.1,375.05,384.05,2.41,0.01,661071.0,46.27,43.48,43.48,30,0,0,15,45,HOLD,MEDIUM
962,JWL,Industrials,Railroads,14422.32,44.64,0.37,339.7,336.4,329.95,0.98,2.95,2994207.0,48.46,46.45,46.45,30,0,0,15,45,HOLD,MEDIUM
1881,THELEELA,Consumer Cyclical,Lodging,14411.95,109.81,,431.55,419.45,412.6,2.88,4.59,548444.0,73.77,66.5,66.5,30,20,0,0,50,HOLD,LOW
842,INDIAMART,Communication Services,Internet Content & Information,14245.88,24.15,0.43,2371.4,2366.8,2527.8,0.19,-6.19,87615.0,69.15,63.72,63.72,15,15,10,15,55,BUY,MEDIUM
592,FINEORG,Basic Materials,Specialty Chemicals,14210.9,34.25,-0.16,4635.0,4629.6,4863.6,0.12,-4.7,11951.0,55.09,55.86,55.86,15,0,0,15,30,SELL,HIGH
348,CEATLTD,Consumer Cyclical,Auto Parts,14202.43,33.0,0.55,3511.1,3399.5,3319.0,3.28,5.79,105725.0,47.53,47.59,47.59,35,0,10,15,60,BUY,MEDIUM
902,ITDCEM,Industrials,Engineering & Construction,14195.69,34.69,0.5,819.3,801.5,724.9,2.22,13.02,521097.0,36.98,47.89,44.39,35,10,0,15,60,BUY,MEDIUM
1563,RRKABEL,Industrials,Electrical Equipment & Parts,14180.07,42.02,1.63,1253.1,1218.3,1211.1,2.86,3.47,113794.0,52.31,46.48,46.48,30,0,0,0,30,SELL,HIGH
1044,KSB,Industrials,Specialty Industrial Machinery,14167.66,55.25,-0.14,813.85,819.65,842.65,-0.71,-3.42,103851.0,48.12,53.26,53.26,0,0,0,15,15,SELL,HIGH
1972,USHAMART,Basic Materials,Steel,14082.45,34.85,0.34,462.4,448.9,376.0,3.01,22.98,1301670.0,40.79,33.18,33.18,40,0,0,15,55,BUY,MEDIUM
1091,LTFOODS,Consumer Defensive,Packaged Foods,14029.02,22.62,0.27,403.85,415.75,449.4,-2.86,-10.14,789700.0,51.98,56.89,56.89,0,0,15,15,30,SELL,HIGH
838,INDGN,Healthcare,Health Information Services,13918.04,32.05,,579.75,575.4,553.0,0.76,4.84,351280.0,51.44,49.42,49.42,30,0,10,0,40,HOLD,MEDIUM
1795,SUNDARMHLD,Financial Services,Asset Management,13904.69,30.48,0.47,630.05,563.85,493.05,11.74,27.79,418589.0,34.93,43.58,43.58,40,0,10,15,65,BUY,MEDIUM
1186,MINDACORP,Consumer Cyclical,Auto Parts,13843.93,54.93,0.56,588.3,571.3,506.7,2.98,16.1,1798724.0,42.08,37.77,37.77,35,0,0,15,50,HOLD,LOW
1312,NSLNISP,Basic Materials,Steel,13832.46,,0.09,47.2,44.86,43.0,5.22,9.77,10427798.0,36.2,27.14,27.14,35,0,0,15,50,HOLD,LOW
17,AARTIIND,Basic Materials,Specialty Chemicals,13802.14,58.11,0.51,380.6,374.6,385.45,1.6,-1.26,511032.0,46.96,47.36,47.36,15,0,0,15,30,SELL,HIGH
1486,RAINBOW,Healthcare,Medical Care Facilities,13753.14,53.76,0.19,1354.2,1361.8,1509.9,-0.56,-10.31,141367.0,60.15,69.32,69.32,0,15,0,15,30,SELL,HIGH
1065,LEMONTREE,Consumer Cyclical,Lodging,13718.76,64.16,-0.06,173.24,165.86,169.71,4.45,2.08,4549613.0,38.25,40.88,40.88,35,0,0,15,50,HOLD,LOW
1396,PFOCUS,Communication Services,Entertainment,13695.32,,0.88,176.41,183.41,142.01,-3.82,24.22,3853035.0,37.47,38.25,38.25,20,0,0,10,30,SELL,HIGH
877,INTELLECT,Technology,Software - Application,13673.74,39.37,0.61,986.1,986.15,953.05,-0.01,3.47,486114.0,44.81,45.13,45.13,15,0,0,15,30,SELL,HIGH
297,BLS,Industrials,Specialty Business Services,13588.01,24.09,-0.45,330.1,333.95,370.55,-1.15,-10.92,867788.0,48.53,44.47,44.47,0,0,10,15,25,SELL,HIGH
693,GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,13534.67,28.17,-0.08,557.3,515.9,518.45,8.02,7.49,1084437.0,56.53,50.09,50.09,35,0,10,15,60,BUY,MEDIUM
