trading_signals_20251006_004721
sid,symbol,sector,industry,market_cap_cr,pe_ratio,beta,current_price,price_5d_ago,price_20d_ago,return_5d,return_20d,avg_volume,current_delivery,delivery_5d_avg,delivery_20d_avg,momentum_score,delivery_score,valuation_score,volatility_score,total_score,signal,confidence
427,DALBHARAT,Basic Materials,Building Materials,42307.2,45.25,0.3,2253.7,2215.4,2411.6,1.73,-6.55,495127.0,66.81,68.47,68.47,15,15,0,15,45,HOLD,MEDIUM
1393,PETRONET,Energy,Oil & Gas Refining & Marketing,41842.5,11.29,0.27,278.95,266.9,277.15,4.51,0.65,2185556.0,71.24,70.48,70.48,35,20,15,15,85,STRONG BUY,HIGH
1166,MCX,Financial Services,Financial Data & Stock Exchanges,41460.34,63.69,0.39,8145.0,7920.5,7707.5,2.83,5.68,434781.0,30.09,33.58,33.58,30,0,0,15,45,HOLD,MEDIUM
957,JUBLFOOD,Consumer Cyclical,Restaurants,41330.17,158.7,0.1,628.45,606.9,634.85,3.55,-1.01,1500478.0,42.2,47.15,47.15,20,0,0,15,35,HOLD,MEDIUM
761,HEXT,Technology,Information Technology Services,40721.78,30.97,,668.85,664.1,749.55,0.72,-10.77,1096926.0,36.25,40.74,40.74,15,0,10,0,25,SELL,HIGH
546,ENDURANCE,Consumer Cyclical,Auto Parts,40699.39,47.39,0.69,2893.4,2730.3,2913.6,5.97,-0.69,178307.0,54.48,55.95,55.95,20,0,0,15,35,HOLD,MEDIUM
600,FLUOROCHEM,Basic Materials,Specialty Chemicals,40660.98,65.36,-0.4,3701.5,3679.0,3385.9,0.61,9.32,349555.0,66.98,60.28,60.28,30,15,0,15,60,BUY,MEDIUM
395,CONCOR,Industrials,Railroads,40632.32,31.35,0.14,533.5,524.8,548.8,1.66,-2.79,1508859.0,46.33,44.28,44.28,15,0,10,15,40,HOLD,MEDIUM
1249,NATIONALUM,Basic Materials,Aluminum,40618.95,7.09,1.0,221.16,200.58,207.12,10.26,6.78,9495993.0,31.74,29.61,29.61,35,0,15,0,50,HOLD,LOW
1482,RADICO,Consumer Defensive,Beverages - Wineries & Distilleries,39595.62,99.02,0.39,2957.6,2882.8,2902.1,2.59,1.91,234921.0,56.41,56.24,56.24,30,0,0,15,45,HOLD,MEDIUM
1300,NLCINDIA,Utilities,Utilities - Regulated Electric,39276.49,13.57,0.49,283.25,279.53,232.73,1.33,21.71,4179705.0,40.15,43.66,43.66,35,0,15,15,65,BUY,MEDIUM
560,ESCORTS,Industrials,Farm & Heavy Construction Machinery,39268.52,31.95,0.14,3569.5,3543.7,3677.5,0.73,-2.94,322755.0,39.58,35.49,35.49,15,0,10,15,40,HOLD,MEDIUM
677,GODREJIND,Industrials,Conglomerates,39112.95,38.76,0.31,1161.3,1195.0,1201.0,-2.82,-3.31,116494.0,50.66,46.77,46.77,0,0,0,15,15,SELL,HIGH
302,BLUESTARCO,Industrials,Building Products & Equipment,39045.61,71.94,0.06,1899.2,1890.1,1960.6,0.48,-3.13,456742.0,58.21,58.07,58.07,15,0,0,15,30,SELL,HIGH
1941,UCOBANK,Financial Services,Banks - Regional,38596.77,14.94,0.64,30.77,29.44,28.77,4.52,6.95,8341707.0,35.34,35.21,35.21,35,0,15,15,65,BUY,MEDIUM
993,KEI,Industrials,Electrical Equipment & Parts,38595.87,50.76,0.38,4037.2,4049.3,4021.4,-0.3,0.39,263114.0,59.42,56.21,56.21,15,0,0,15,30,SELL,HIGH
176,ASTRAL,Industrials,Building Products & Equipment,37168.3,76.91,0.4,1383.6,1373.8,1425.7,0.71,-2.95,554201.0,56.84,56.66,56.66,15,0,0,15,30,SELL,HIGH
